Time	CellId	RNTI	BWPId	SINR(dB)
7.1427e-05	1	0	0	-4.10544
7.1427e-05	1	0	0	39.913
7.1427e-05	1	0	0	5.11009
7.1427e-05	1	0	0	35.3742
7.1427e-05	1	0	0	4.07288
7.1427e-05	1	0	0	-5.38058
7.1427e-05	1	0	0	-22.7903
7.1427e-05	3	0	0	-16.1647
7.1427e-05	3	0	0	-10.5016
7.1427e-05	3	0	0	25.601
7.1427e-05	3	0	0	35.9588
7.1427e-05	3	0	0	-10.4546
7.1427e-05	3	0	0	-39.7814
7.1427e-05	3	0	0	28.0226
7.1427e-05	3	0	0	12.3512
7.1427e-05	3	0	0	-8.94705
7.1427e-05	3	0	0	1.6078
7.1427e-05	3	0	0	-6.75963
7.1427e-05	3	0	0	23.033
7.1427e-05	3	0	0	39.594
7.1427e-05	3	0	0	4.57771
7.1427e-05	3	0	0	15.1766
7.1427e-05	3	0	0	24.2644
7.1427e-05	3	0	0	-22.7436
0.00507143	1	0	0	3.65459
0.00507143	1	0	0	37.0779
0.00507143	1	0	0	17.5996
0.00507143	1	0	0	40.3964
0.00507143	1	0	0	-11.1237
0.00507143	1	0	0	-0.175945
0.00507143	1	0	0	-1.39305
0.00507143	3	0	0	-15.428
0.00507143	3	0	0	10.5445
0.00507143	3	0	0	25.5897
0.00507143	3	0	0	33.8842
0.00507143	3	0	0	-11.1328
0.00507143	3	0	0	-24.8747
0.00507143	3	0	0	28.6916
0.00507143	3	0	0	12.4996
0.00507143	3	0	0	-9.77439
0.00507143	3	0	0	11.3583
0.00507143	3	0	0	-3.09434
0.00507143	3	0	0	22.3675
0.00507143	3	0	0	43.144
0.00507143	3	0	0	-8.34796
0.00507143	3	0	0	15.5267
0.00507143	3	0	0	26.4262
0.00507143	3	0	0	-24.8268
0.0100714	1	0	0	4.06445
0.0100714	1	0	0	37.3813
0.0100714	1	0	0	16.2061
0.0100714	1	0	0	40.3251
0.0100714	1	0	0	-11.702
0.0100714	1	0	0	0.416274
0.0100714	1	0	0	-2.66616
0.0100714	3	0	0	-15.6374
0.0100714	3	0	0	10.7264
0.0100714	3	0	0	25.7978
0.0100714	3	0	0	33.2035
0.0100714	3	0	0	-10.446
0.0100714	3	0	0	-24.948
0.0100714	3	0	0	28.7275
0.0100714	3	0	0	12.3421
0.0100714	3	0	0	-10.4387
0.0100714	3	0	0	9.92663
0.0100714	3	0	0	-2.75055
0.0100714	3	0	0	22.554
0.0100714	3	0	0	44.0814
0.0100714	3	0	0	-8.95228
0.0100714	3	0	0	17.4104
0.0100714	3	0	0	26.2377
0.0100714	3	0	0	-24.8436
0.0150714	1	0	0	3.37278
0.0150714	1	0	0	37.1329
0.0150714	1	0	0	16.8745
0.0150714	1	0	0	40.3066
0.0150714	1	0	0	-10.4352
0.0150714	1	0	0	0.598787
0.0150714	1	0	0	-3.02109
0.0150714	3	0	0	-15.85
0.0150714	3	0	0	11.3817
0.0150714	3	0	0	25.7865
0.0150714	3	0	0	32.6945
0.0150714	3	0	0	-10.8257
0.0150714	3	0	0	-24.1954
0.0150714	3	0	0	29.2747
0.0150714	3	0	0	11.8646
0.0150714	3	0	0	-9.42605
0.0150714	3	0	0	11.4384
0.0150714	3	0	0	-1.92464
0.0150714	3	0	0	22.2666
0.0150714	3	0	0	42.901
0.0150714	3	0	0	-8.53516
0.0150714	3	0	0	17.6069
0.0150714	3	0	0	26.484
0.0150714	3	0	0	-24.8034
0.0200714	1	0	0	3.72681
0.0200714	1	0	0	36.9207
0.0200714	1	0	0	17.3693
0.0200714	1	0	0	40.7217
0.0200714	1	0	0	-9.47383
0.0200714	1	0	0	0.0470211
0.0200714	1	0	0	-2.31936
0.0200714	3	0	0	-15.1657
0.0200714	3	0	0	11.6419
0.0200714	3	0	0	25.6318
0.0200714	3	0	0	32.4904
0.0200714	3	0	0	-10.2912
0.0200714	3	0	0	-24.1141
0.0200714	3	0	0	29.6818
0.0200714	3	0	0	11.8771
0.0200714	3	0	0	-10.0261
0.0200714	3	0	0	10.5156
0.0200714	3	0	0	-1.53553
0.0200714	3	0	0	22.0483
0.0200714	3	0	0	43.299
0.0200714	3	0	0	-9.73828
0.0200714	3	0	0	16.223
0.0200714	3	0	0	26.963
0.0200714	3	0	0	-24.0294
0.0230714	1	1	0	3.71107
0.0230714	1	2	0	37.49
0.0230714	1	3	0	16.3942
0.0230714	1	4	0	42.394
0.0230714	1	5	0	-8.47399
0.0230714	1	6	0	0.676169
0.0230714	1	7	0	-1.87073
0.0240714	3	1	0	-13.9233
0.0240714	3	2	0	12.0712
0.0240714	3	3	0	26.5649
0.0240714	3	4	0	33.4631
0.0240714	3	5	0	-9.15421
0.0240714	3	6	0	4.52414
0.0240714	3	7	0	29.5994
0.0240714	3	8	0	12.3028
0.0240714	3	9	0	-9.83324
0.0240714	3	10	0	11.7053
0.0240714	3	11	0	-2.0731
0.0240714	3	12	0	42.4321
0.0240714	3	0	0	45.5126
0.0240714	3	0	0	-9.8335
0.0240714	3	0	0	17.9201
0.0240714	3	0	0	27.6457
0.0240714	3	0	0	6.30864
0.0250714	1	1	0	3.44429
0.0250714	1	2	0	37.4515
0.0250714	1	3	0	16.6491
0.0250714	1	4	0	41.1504
0.0250714	1	5	0	-10.028
0.0250714	1	6	0	0.330126
0.0250714	1	7	0	-2.47355
0.0250714	3	1	0	-15.1323
0.0250714	3	2	0	11.3816
0.0250714	3	3	0	25.0351
0.0250714	3	4	0	32.4239
0.0250714	3	5	0	-9.42488
0.0250714	3	6	0	-24.6049
0.0250714	3	7	0	29.5742
0.0250714	3	8	0	12.3343
0.0250714	3	9	0	-9.08417
0.0250714	3	10	0	10.779
0.0250714	3	11	0	-1.6637
0.0250714	3	12	0	21.7487
0.0250714	3	0	0	42.9843
0.0250714	3	0	0	-10.0601
0.0250714	3	0	0	16.1713
0.0250714	3	0	0	27.3261
0.0250714	3	0	0	-23.9423
0.0280714	3	1	0	-14.3056
0.0280714	3	2	0	12.0584
0.0280714	3	3	0	26.2634
0.0280714	3	4	0	33.4015
0.0280714	3	5	0	-9.64155
0.0280714	3	6	0	4.67629
0.0280714	3	7	0	29.7733
0.0280714	3	8	0	12.2365
0.0280714	3	9	0	-9.08083
0.0280714	3	10	0	12.6329
0.0280714	3	11	0	-2.43302
0.0280714	3	12	0	42.4731
0.0280714	3	0	0	46.0091
0.0280714	3	0	0	-9.77955
0.0280714	3	0	0	17.7192
0.0280714	3	0	0	27.3114
0.0280714	3	0	0	6.02883
0.0300714	1	1	0	3.74809
0.0300714	1	2	0	37.5867
0.0300714	1	3	0	17.8013
0.0300714	1	4	0	41.0791
0.0300714	1	5	0	-9.96442
0.0300714	1	6	0	0.824048
0.0300714	1	7	0	-3.05345
0.0300714	3	1	0	-15.2005
0.0300714	3	2	0	11.3785
0.0300714	3	3	0	25.3201
0.0300714	3	4	0	32.5303
0.0300714	3	5	0	-10.3783
0.0300714	3	6	0	-24.7256
0.0300714	3	7	0	29.732
0.0300714	3	8	0	12.1053
0.0300714	3	9	0	-9.03248
0.0300714	3	10	0	11.888
0.0300714	3	11	0	-1.45657
0.0300714	3	12	0	22.2759
0.0300714	3	18	0	44.0934
0.0300714	3	19	0	-9.85875
0.0300714	3	20	0	16.1268
0.0300714	3	21	0	26.9564
0.0300714	3	22	0	-24.1568
0.0320714	1	1	0	3.7295
0.0320714	1	2	0	37.6986
0.0320714	1	3	0	16.9731
0.0320714	1	4	0	42.6807
0.0320714	1	5	0	-9.50926
0.0320714	1	6	0	0.671605
0.0320714	1	7	0	-2.96038
0.0330714	3	1	0	-14.3779
0.0330714	3	2	0	12.5413
0.0330714	3	3	0	26.6562
0.0330714	3	4	0	33.4503
0.0330714	3	5	0	-9.50894
0.0330714	3	6	0	4.88602
0.0330714	3	7	0	29.9618
0.0330714	3	8	0	12.0746
0.0330714	3	9	0	-8.83893
0.0330714	3	10	0	12.418
0.0330714	3	11	0	-1.79816
0.0330714	3	12	0	43.0668
0.0330714	3	18	0	46.2842
0.0330714	3	19	0	-9.8425
0.0330714	3	20	0	18.2826
0.0330714	3	21	0	27.1788
0.0330714	3	22	0	5.32916
0.0340714	1	1	0	3.55462
0.0340714	1	2	0	37.6982
0.0340714	1	3	0	15.5964
0.0340714	1	4	0	42.444
0.0340714	1	5	0	-9.56586
0.0340714	1	6	0	0.784614
0.0340714	1	7	0	-2.8769
0.0350714	1	1	0	2.86517
0.0350714	1	2	0	37.6352
0.0350714	1	3	0	16.2758
0.0350714	1	4	0	41.1462
0.0350714	1	5	0	-9.47446
0.0350714	1	6	0	0.978601
0.0350714	1	7	0	-3.35388
0.0350714	3	1	0	-14.9053
0.0350714	3	2	0	11.8733
0.0350714	3	3	0	25.5143
0.0350714	3	4	0	32.7147
0.0350714	3	5	0	-10.2261
0.0350714	3	6	0	-24.7987
0.0350714	3	7	0	29.9864
0.0350714	3	8	0	11.8096
0.0350714	3	9	0	-9.27826
0.0350714	3	10	0	10.9947
0.0350714	3	11	0	-1.80296
0.0350714	3	12	0	22.2417
0.0350714	3	18	0	43.5664
0.0350714	3	19	0	-9.56422
0.0350714	3	20	0	16.1771
0.0350714	3	21	0	26.866
0.0350714	3	22	0	-25.1549
0.0360714	1	1	0	3.18912
0.0360714	1	2	0	37.7606
0.0360714	1	3	0	16.471
0.0360714	1	4	0	42.4251
0.0360714	1	5	0	-9.90535
0.0360714	1	6	0	0.360004
0.0360714	1	7	0	-3.31006
0.0400714	1	1	0	2.80102
0.0400714	1	2	0	37.8292
0.0400714	1	3	0	15.9614
0.0400714	1	4	0	40.9927
0.0400714	1	5	0	-8.76915
0.0400714	1	6	0	0.604308
0.0400714	1	7	0	-2.98648
0.0400714	3	1	0	-14.7316
0.0400714	3	2	0	12.2375
0.0400714	3	3	0	26.2398
0.0400714	3	4	0	32.2278
0.0400714	3	5	0	-10.6428
0.0400714	3	6	0	-24.286
0.0400714	3	7	0	30.2501
0.0400714	3	8	0	12.4984
0.0400714	3	9	0	-8.59625
0.0400714	3	10	0	10.4689
0.0400714	3	11	0	-2.34748
0.0400714	3	12	0	22.2426
